alpha phi1 phi2 phi3 theta1 theta2 theta3
-1.29003972991395 0.0762361029806921 0.331824827818958 0.194966361994337 -0.127021372734921 -0.048162446937901 0.0486159175770162
-1.19606067962278 0.010419366739803 0.328955511924287 0.291036666996634 -0.101424311973996 -0.0397983545279893 -0.0405633929159299
-1.18349277301982 0.011390116788875 0.35411484369124 0.267834859650106 -0.105927550461243 -0.0496546227200931 -0.0175068056292387
-1.37555447754284 0.0127357119162481 0.352712821283596 0.209115637150778 -0.0628463707286655 -0.0572760694476774 0.0294936599656852
-1.21230460486796 0.0398508713022137 0.387104393710015 0.197139470610975 -0.0926536333522088 -0.0903014771627577 0.0727170823991879
-1.20484676829846 -0.0191404081068616 0.401710318106057 0.246722221625718 -0.0554462152376194 -0.128007635770257 -0.00829072148417808
-1.31168589313103 0.0227282931799998 0.325030232534202 0.248246855381266 -0.0810862535941281 -0.0328980155272314 -0.02571467095685
-1.1994453059376 0.00281361463500472 0.34244957015095 0.283879610967177 -0.0706612708351957 -0.0629190614135709 -0.0519499286527417
-1.18107566667769 0.00723864939498547 0.331582970050392 0.296202761985944 -0.0986128125605559 -0.0394468768730697 -0.0531169662870558
-1.25861435143681 0.00172892189784393 0.338568105609667 0.275140518269198 -0.0914192924830342 -0.0438420048373135 -0.0484310917760491
-1.1851939225912 0.0267019756378388 0.342850628265979 0.265530848200466 -0.114350801048008 -0.0266494914052784 -0.0224923632075812
-1.269256151433 0.0247599284027476 0.333575338470222 0.252148432345393 -0.0999005867785955 -0.0523608047953591 -0.0159367228883646
-1.29000042479724 -0.00221366709809804 0.337286764955961 0.26648905913083 -0.0671745138717823 -0.0544097948977533 -0.0218321229018796
-1.30383719469866 0.0131690817634528 0.369611489908133 0.213499937717993 -0.0908819972537449 -0.0805295028365015 0.0413646483758472
-1.1466592774589 -0.0144964250330542 0.381078680418754 0.280040511507129 -0.0562696562112827 -0.0959456326195615 -0.0419801682572216
-1.23507639096965 0.0677061344185447 0.348515011336044 0.202769106564784 -0.130513081832838 -0.0629604093934253 0.0609760436645472
-1.17630709132195 0.0893101888820691 0.331249755169271 0.216192108425578 -0.12828654722252 -0.0605150468413664 0.0391722986963163
-1.13530535404477 0.0369102616456862 0.329728962741513 0.28407114599242 -0.130673670860012 -0.0457075578228348 -0.0380162807352147
-1.20570329036388 0.0434808203958246 0.359732802075883 0.225474507560478 -0.107481009029999 -0.0698127535124857 0.0106975620821115
-1.41547211264855 -0.00342757891938091 0.338100634240155 0.230454367380435 -0.0725099797340472 -0.0483892483385319 0.0106874653288171
-1.25936896907266 0.0484939218291207 0.3628434703663 0.201150962855477 -0.106664642291305 -0.0787045064799335 0.0360081449148403
-1.26912435832541 -0.0254324740029765 0.350529235259041 0.285228835168035 -0.0503300583584622 -0.0631278924406232 -0.0353430899235488
-1.16848436558932 -0.00426677747677331 0.388130579812276 0.253412630645567 -0.0730905062064067 -0.10400097172005 -0.0178127957367807
-1.22573126224982 0.0409038931957167 0.350220339113022 0.229497233417757 -0.114947440983758 -0.0552518987524036 0.0162777729351016
-1.11734044568237 -0.062520931163517 0.378533535352125 0.340131960707636 -0.00995989917686089 -0.0932201939030461 -0.113102965173665
-1.2190153594499 0.0123475459803813 0.382733132284644 0.230710698341017 -0.0837388367004564 -0.0862334562329799 0.0076212837409686
-1.25483298789322 0.0455157660018015 0.362726034358194 0.205890134416116 -0.0973868676426027 -0.0694858439904539 0.0255336518139467
-1.33132130312777 0.0251208465584362 0.336331142596486 0.228334873133075 -0.101925235599212 -0.0564417323310242 0.011301529631941
-1.26301704099277 0.049557064513471 0.361520540362476 0.200072909941264 -0.10251655845519 -0.0816711329773216 0.0428650569203144
-1.10227307056239 0.0293216904285451 0.327696797015405 0.300948144647801 -0.108949558323522 -0.0407051718602055 -0.0501597013506134
-1.0879705784763 -0.00511667276583612 0.36177045061944 0.307240868834072 -0.0877021220587691 -0.0648710834154565 -0.0630620219963662
-1.33917835926707 0.0389077247626744 0.339358444149689 0.210509118441737 -0.0841201924757395 -0.0499517096596232 0.0241733237724251
-1.3542366272918 0.0146384886735843 0.358807849678777 0.210841558651828 -0.0632986893439952 -0.0654913181843041 0.0296915689358234
-1.18959916375341 0.0730232410536368 0.345380332854002 0.214379825066293 -0.133953191845944 -0.0725991265353209 0.023642501907588
-1.38541601610912 0.0988724436924953 0.285958463402727 0.186024130565963 -0.123350382312402 0.0221286571335757 0.0330132873340968
-1.23917040262028 -0.00978851339680494 0.331620518244061 0.296772895814305 -0.0774944747702025 -0.0578564858636726 -0.0400995201728825
-1.23520666146007 0.034497510840712 0.342290758502632 0.243673964627102 -0.089330948738592 -0.0532073852180616 0.00708100685855275
-1.30874068757414 0.0589427991185259 0.301004975054756 0.236061977026298 -0.10423849606369 -0.00041203215274172 -0.00545596782111936
-1.20787649691162 -0.0210832742642425 0.3779176947648 0.272170303981261 -0.0499236139575727 -0.0894158305859495 -0.0384615816344397
-1.17200145922372 0.00820921961284834 0.377537891309432 0.250987014114945 -0.0815228626017177 -0.0734434584312137 -0.00857922895609536
-1.39464209647802 0.0344309606405478 0.318386834742457 0.214824086786807 -0.0843747439599231 -0.0313865624325418 0.0295143508974605
-1.1687363576981 0.0489385535844421 0.359859055696339 0.229010182815539 -0.116993525914971 -0.0518386482286321 0.0101795177145797
-1.3077478913631 0.0709628847142633 0.300664505895273 0.224698845296217 -0.110063092381612 -0.0170973957897554 0.00481464679645132
-1.27991728676049 0.076070558508427 0.319081244614479 0.209865234289252 -0.11841517955137 -0.0147178085959972 0.0217225377219171
-1.25404533567378 0.031961896496215 0.335770211197563 0.248078665603405 -0.103599078433437 -0.0384477664043138 -0.00942755986832395
-1.28965293671921 -0.0142445824001829 0.338260661183195 0.280805425770372 -0.0852091295698906 -0.0588043718363572 -0.0247905970816696
-1.29891368282786 0.00258856322728346 0.379613221544171 0.220509344317788 -0.0681313007278117 -0.0784062926071549 0.0161060118387602
-1.24178289828929 0.0227821692439166 0.33336377786377 0.261261355499985 -0.0911914266606571 -0.0278624008205381 -0.0197835707414357
-1.21992212652818 0.0477618909251861 0.358150363762284 0.218921196384958 -0.106372431362629 -0.060244914829239 0.0252377279701424
-1.03275462687466 0.00334826215010422 0.388978087313484 0.288156257591145 -0.102255333363508 -0.0894058982182362 -0.0402165267411576
-1.3611633083405 0.0492668245225131 0.361081738387284 0.170058295867126 -0.0920419217907497 -0.0659015408919117 0.0633181087605049
-1.22966538966944 0.0752540674650819 0.323571921892838 0.218718353082661 -0.113016933839691 -0.0352056588532498 0.0304004568359356
-0.975725021328767 0.0206815720083676 0.398865407950799 0.278286279561453 -0.108360877080551 -0.124900239256353 -0.0441506300848426
-1.27250389202762 0.0601831211455629 0.343635465683819 0.203833157440312 -0.113920040707288 -0.0520722063095013 0.0313891173884058
-1.19363492038655 0.0359722603097981 0.330769353797404 0.262112160309808 -0.115756376764947 -0.0542519768861998 -0.0130283847049204
-1.20128859941173 0.0117306795694442 0.342531077383815 0.276504617378256 -0.100946182036387 -0.0489745458589535 -0.0276321108280954
-1.15398831729648 0.0453802174669288 0.349744637754491 0.247183479298895 -0.116309882844308 -0.0669526417433786 0.0100185271681317
-1.28212670908838 0.0118045413163835 0.297301583317411 0.301211632333391 -0.108308400415946 -0.0224042414053676 -0.0724069644821999
-1.24404256363484 0.0399024473961155 0.302200633903469 0.275241088511956 -0.101040877407663 -0.00966883393594092 -0.0447893288129423
-1.16939650751851 -0.0169930365490511 0.360007598208787 0.296141788616656 -0.0604499081366985 -0.0952248674499019 -0.051630451687201
-1.14688460835606 -0.0207262473029885 0.375072767782988 0.291117384703963 -0.065630626811754 -0.091667105472646 -0.0548423673414972
-1.21281805479175 0.0211693969598011 0.314544459222516 0.290092560761853 -0.124386742762331 -0.011595777180018 -0.0510704816517167
-1.21459325730741 0.0137401627191888 0.37444460687531 0.237455569869499 -0.0868472195714576 -0.0718231648529447 0.0254913821745213
-1.13110028135458 0.0122576719020308 0.351808281191601 0.287886972862519 -0.107958518296999 -0.0583040081806441 -0.0419321063164226
-1.35707079817037 0.101413860443674 0.281187935148489 0.200942212877551 -0.114678147982255 -0.0103634385396799 0.0139206309501009
-1.30896271396431 0.0747167515979995 0.294524061863409 0.22429418669099 -0.131666926795057 -0.012611579866934 0.0272982492002118
-1.35118645169578 0.073272043954855 0.28313000129255 0.226673274734537 -0.127698731289565 0.00936629743918631 0.0275167409885053
-1.29624244944915 0.0206582417309541 0.335039252629177 0.245768430712306 -0.0907263169778205 -0.0470013588051225 -0.0195231601343895
-1.42303112790483 0.0524484106780168 0.314666097678813 0.194550181071253 -0.108419213452206 -0.0342991673219404 0.0503415269259986
-1.19535819317233 -0.00877714388186649 0.369133518789376 0.273982676534976 -0.0862137524063478 -0.0777994585910163 -0.0242384574874354
-1.15698059915982 0.0241075871220756 0.366553305480558 0.252537240666905 -0.110333459152857 -0.0763477552839236 -0.0151125924329589
-1.16042249288368 0.041211690589372 0.3517447181066 0.249383460078618 -0.0989496447360124 -0.0730547083166987 -0.00700274432404887
-1.25356971008341 0.00399282625319935 0.35565966449862 0.255050901587345 -0.0729491008820427 -0.0661514812213836 -0.0114312590702653
-1.1808620918945 -0.00217608543144404 0.333376896450094 0.301852299740443 -0.0662052494911804 -0.0500804794856959 -0.0587490181621173
-1.23302505462258 0.0633925462733892 0.312061763708873 0.244143375136963 -0.127329813753521 -0.0238476856104784 -0.00848193647148091
-1.15422095571361 -0.0279943300353963 0.379396165329503 0.291507710041925 -0.0608866369688358 -0.105106959056319 -0.0419512260160996
-1.1619416341019 0.0301724396474065 0.343037548676701 0.267336765654407 -0.110135401198803 -0.0453093197993297 -0.00990759879730642
-1.33972439244203 -0.0100898308628432 0.326652372433502 0.271198140774804 -0.0710892253225287 -0.0396629233298048 -0.0309822848352478
-1.30409713714449 0.00298331821846553 0.335447923119232 0.260326177158232 -0.0686300471923035 -0.0581828207932383 -0.0302224448566341
-1.24163307001118 0.0260185946130753 0.368996476308585 0.223787260316489 -0.112119537084655 -0.0964328009077668 0.00356049275119136
-1.20479253175066 0.00431036064517808 0.33662898980774 0.287205122633254 -0.0614134855081791 -0.0304653676912234 -0.057756337394208
-1.23896187369241 0.0751206174950757 0.315385196273583 0.229137742737257 -0.145163310458678 -0.0291399511533867 0.00473221226172123
-1.30931762756652 -0.0214106294181559 0.366013207458376 0.2532713206825 -0.0568958117720643 -0.0801269354088098 0.00410353614878088
-1.30389972491586 0.0386692237202089 0.310732751729994 0.247502743096303 -0.0940537287383136 -0.0173813661317539 -0.0024816693055599
-1.29514736309316 0.012289042119878 0.357904639764254 0.229013529688437 -0.0743786467844084 -0.0660528977657326 0.00713819616479141
-1.20186319275727 -0.0262910245056473 0.327459798631395 0.329482051987138 -0.0579820359566591 -0.0301900441610707 -0.0872767098203719
-1.31320657464702 -0.0142162611091428 0.349643793910023 0.25800943626267 -0.0727763025804015 -0.0325709139217754 -0.0109806217311943
-1.19078895238865 -0.0273050349586244 0.388172664251786 0.272447365758363 -0.0500867692718611 -0.093920005938949 -0.0263882443982484
-1.23147246887962 0.0213706824351227 0.320399583396285 0.279213520649513 -0.108795653625074 -0.0421165183215887 -0.0291405704147359
-1.3913313915721 0.0651823628918216 0.273409380978009 0.233735953707843 -0.115916395961069 0.0259710394746028 0.0163624639077458
