alpha phi1 phi2 phi3 theta1 theta2 theta3
-1.29797857799593 -0.0376039662555259 0.393071764654033 0.243279012047424 -0.0422333154118549 -0.109522811364239 -0.00398475664458407
-1.20348151484338 0.0135347035081746 0.409154287669351 0.20885455211151 -0.0919763333815993 -0.138330108902962 0.0486059910766537
-1.28220797455124 -0.043868467782352 0.335143730821731 0.313506359738641 -0.0344625616352669 -0.0241128949849425 -0.063451293968745
-1.11840656989934 -0.0406526481208618 0.336866124289149 0.357538954696942 -0.0595665364959776 -0.0189598469781223 -0.0801623319493531
-1.11529916974541 -0.022946743451438 0.454654074782153 0.224674229383072 -0.04576338552568 -0.182332767976766 0.0116385266902399
-1.29934813719912 0.0377282887976947 0.381350642238529 0.176948121662409 -0.0741269492396093 -0.0809414046073848 0.0789687608784209
-1.34513947866203 0.0040516928745176 0.332935761533199 0.249918212470167 -0.098565703414881 -0.0442408194640178 -0.00177877581159803
-1.34988210391385 -0.0160824738005837 0.368816436842166 0.226292307518181 -0.0545062711490771 -0.0804643823749523 0.0168312409185789
-1.11856313113654 0.045062840104083 0.334426992428253 0.274099366252819 -0.0983077140531894 -0.0425236964076221 -0.0462548660928512
-1.0551136175246 -0.0791722163385137 0.427165676978993 0.32779045140159 -0.0145809752046688 -0.145608674924995 -0.118963265083548
-1.09337762351689 0.0438915968856402 0.392158395966777 0.22739484923508 -0.137146592795422 -0.115127554749393 0.0117887072224945
-1.13345785054221 0.00824986381911856 0.374714698646018 0.26553993662903 -0.112029660337738 -0.106359553762757 -0.0406000550534896
-1.24159942275046 0.085394309332915 0.305547610936447 0.219867480987276 -0.134725742802298 -0.00870987440804318 0.0166896786586422
-1.22902496940687 -0.0196009878243508 0.375929106799696 0.262638055650828 -0.0439206820104451 -0.0532726137418846 -0.00625105898359036
NA NA NA NA NA NA NA
-1.09690991794659 -0.0496125710780045 0.386005262327625 0.324194908502866 -0.0611575922450675 -0.0480768561827531 -0.0771639604932476
-1.38192924621383 0.0378003757927702 0.302556391611217 0.232475279361263 -0.0820202669064746 -0.0226609981709076 -0.0359939554719576
-0.959841546780645 -0.0231882177670413 0.382222999605409 0.344431257221418 -0.0787612974450714 -0.0838854023792227 -0.0909644402476524
-1.08968289097241 0.00539629212571585 0.376572601197118 0.276544243461157 -0.0726948550473761 -0.0700413856657481 -0.0420478417460537
-1.32685305785654 0.0281184003172637 0.313120053555952 0.250315177782132 -0.112170878434505 -0.0190786359107371 -0.00315975783781436
-1.41977722855216 -0.00532491840087512 0.344847170019445 0.223733664118891 -0.0589471570725693 -0.0320443954625673 0.032899646413283
-1.27892619073912 0.00715617152565092 0.373280912243994 0.229316323564124 -0.068005630877828 -0.0771915559940781 -0.00272343277328263
-1.41541054508258 0.0355984783950368 0.35782931733684 0.17024361673399 -0.0867012363875335 -0.0676140539756325 0.0788355114153995
-1.33787986103044 0.000719675242909221 0.381560315623289 0.206424918806246 -0.0820733811265539 -0.109352981009047 0.0289442854733958
-1.42409659288982 -0.00124098956782848 0.310736049097759 0.255522212543218 -0.0631422729364238 -0.0272030299219432 -0.00297674438479752
-1.33801656599851 0.023351987525635 0.303980713522698 0.261659475835766 -0.0818973657396363 -0.0039999434749705 -0.0112629514838464
-1.27939690418566 0.0138978649860328 0.361145918697077 0.227926478386249 -0.0761452846309662 -0.052713687337978 0.00929181541847445
-1.41157905387352 0.0521612273056386 0.334112817551906 0.180929621656752 -0.121534174074559 -0.054888457644158 0.0539844443861838
-1.09474901527442 -0.0690285855778961 0.4473948503302 0.285404158878757 -0.0192912484593238 -0.203619525520891 -0.0435840831309181
-1.35897066468388 0.0232757948981155 0.333716071064488 0.223072597641482 -0.100811235822499 -0.0443352929568866 -0.0110033337459499
-1.26456428914779 0.0310881216602583 0.279213850525941 0.302580058812088 -0.115164117809814 0.00666137654937778 -0.0444108115730412
-1.24009300048122 -0.0578443595172282 0.40996579615775 0.264450863976902 -0.0159415659625583 -0.123922213197336 -0.0217724462679242
-1.2880562134921 0.0278570049481974 0.391149534553888 0.179458877759014 -0.0774169471835339 -0.0850189475459381 0.0539402192587859
-1.06445553190966 0.0913016403987042 0.33697079335491 0.242038024167714 -0.128671325730016 -0.0512625258027961 -0.00398162190996904
-1.33069554625795 0.0979613609452111 0.232998881324628 0.255509417574209 -0.112923372089482 0.0442331242149086 -0.0223088123398775
-1.12549232671169 0.10294860441237 0.332977574021562 0.217022449698651 -0.1767844646994 -0.0669588388504853 0.027081112020502
-1.20692833908384 0.0495678297026075 0.376972520236386 0.202371863078578 -0.128246814545178 -0.106258235709118 0.0448487768018367
-1.22444644620491 0.0237515781301217 0.318732246556947 0.278521571477777 -0.0657860080239719 -0.0202728457144548 -0.0559345636975315
-1.23443027419728 0.0847116999173216 0.312209983982514 0.221298040083861 -0.134641634358275 -0.033341945986948 0.0272784216719669
-1.28156621098884 0.0157451485027538 0.357743754029268 0.229984685849278 -0.0895933082220679 -0.068977664002014 0.00545423469837543
-1.34465399427555 0.0732144314448698 0.300172721279456 0.212416724756399 -0.127222001033575 -0.00533222585080353 0.045420363745195
-1.2518077317985 0.00659498447932109 0.39330604737281 0.213149696018527 -0.0783161956494485 -0.129197080820855 0.0410409000088954
-1.17896348825147 -0.0306697900284531 0.390982192790651 0.276801819574841 -0.0470070347328955 -0.122139259217474 -0.045017019474143
-1.41825341391268 0.0147923045844039 0.347010172753891 0.203126250340853 -0.0889341956578672 -0.0340059757400522 0.0386379788177975
-1.20872949818636 0.0220784386401916 0.350200134921093 0.252915070051896 -0.0966410867724173 -0.0518043271756 -0.0282406797223373
-1.19786166427059 0.00813457658900015 0.347063907697566 0.270394972971292 -0.0547651734468592 -0.0585734089796692 -0.00592690546970589
-1.11154104806598 0.0596972476622773 0.321419804753298 0.276823562640362 -0.128938104420015 -0.037212309581345 -0.0188300440730082
-1.19416935235338 -0.0662753664604972 0.412772398207749 0.287066851944472 -0.017792555637271 -0.1634322951206 -0.0204682008047067
-1.25328863313167 0.0477686932453865 0.38922759123022 0.174363810560212 -0.0853215302695072 -0.0850836792688249 0.0461773011247298
-1.13283375890914 -0.0187616849881336 0.395426943998961 0.271034920303665 -0.0587421431686173 -0.127876158285565 -0.0101008486532073
-1.38242316546703 0.0213967346518617 0.376605132185102 0.176307133013851 -0.0922789702008231 -0.105132048961026 0.0788365410249403
-1.42811370905958 0.184438271384474 0.305346999762624 0.0764010604820216 -0.232469672444444 -0.0291452145946784 0.156329907356196
-1.58320065139799 0.101822550076625 0.292522896398027 0.118098849292867 -0.10273326187078 -0.000424398007203404 0.114913545803168
-1.28344811337927 0.0787826305378744 0.295626783843863 0.231300667510167 -0.12936931002359 -0.00526237380196905 0.0115783988889004
-1.38805424886629 0.0700542848809683 0.272226738280501 0.23324190059533 -0.109783670522779 0.0168665310420998 0.0181234412833049
-1.25054144448445 0.132459996482275 0.369039105924951 0.112216709728837 -0.183343297135891 -0.0663769104641745 0.118721506979973
-1.04910501560158 0.0176824819961419 0.362789024516391 0.29558662850393 -0.0730327514642504 -0.0414463474504039 -0.0522473321247649
-1.01254038690591 -0.05307662211265 0.393194047867284 0.345935711236775 -0.0258643394949197 -0.108373171170892 -0.0941238421803549
-1.07152274364652 -0.114858533983698 0.437303481754136 0.347474940963956 0.0116160213712968 -0.153913871513075 -0.0816823677507287
-1.11235869657066 -0.00789465824431574 0.328125989871379 0.334254250467175 -0.0766000131048952 -0.0202715761237346 -0.0515655819792083
-1.19721159148488 0.0629101946443499 0.342493192613473 0.224967573025862 -0.121968393022011 -0.0568593054977898 0.00431145316627741
-1.04817602056028 0.0213630776412127 0.37786053186872 0.276788774371454 -0.139127036703853 -0.0728971212105893 -0.0272591144819642
-1.10162907895846 -0.0310090216365321 0.372210929587416 0.320377618883014 -0.049512193481419 -0.0825858924842543 -0.083629094732219
-1.17608722201923 -0.00746595969320222 0.363632701820694 0.283609812850539 -0.0867260643978432 -0.0783316265102173 -0.0272473148537593
-1.05265154091005 0.0130966976036638 0.355791477020548 0.307138434238714 -0.0324962606551536 -0.0611666672479496 -0.110962388975315
-1.22433898261055 0.0925786281784832 0.271122004308014 0.262814268579249 -0.152852619749866 0.0294730161856855 -0.0299062072520421
-1.25327722631454 0.00243463424503888 0.337717955978227 0.275683969132717 -0.0732847029866135 -0.0560893394214526 -0.0571946101417579
-1.28984609464162 0.0175322842233602 0.355319192807319 0.228348216524853 -0.0822061903721865 -0.117874124398538 0.0601298249924111
-1.24447365532906 0.0386746772769778 0.356492501094542 0.222734942160361 -0.0685103998104758 -0.0688501532139687 -0.0051224668637973
-1.49941816698339 0.0482151231714028 0.239930713536395 0.252430890048477 -0.103663709867221 0.0434759134192577 -0.00495284370203918
-1.42639532540885 0.0204390306374554 0.3149714817652 0.222365936790999 -0.0552272633627789 -0.00753883099828971 0.0197747215135804
-1.27122693614717 0.00472912273180848 0.313667567688425 0.291049857017122 -0.090820642507044 -0.0197318644103737 -0.0361157617583178
-1.14107749294738 0.0683477364013893 0.314588272865449 0.264117793889407 -0.135981490193803 -0.0591729371858701 0.0139857275731345
-1.22533714438986 0.0109709435976601 0.348751604212639 0.262959712759499 -0.0927064684368513 -0.0524104478565606 -0.0173167360833733
-1.31680690592681 0.079931413676858 0.326646386494272 0.184613381451683 -0.136147786971282 -0.0322786998715306 0.0762729932050077
-1.18800946517952 -0.0122779621352501 0.393518884167384 0.24700748092889 -0.0842385620358567 -0.0746120454731215 -0.0141766202497565
-1.23437491185502 -0.00940578752746093 0.361337160777858 0.27010579351787 -0.0783545331217989 -0.0541346997900805 -0.0267717381491715
-1.26993418140174 0.0894350040145771 0.360186028015449 0.158145990992398 -0.156441514511937 -0.0599697721426242 0.102929647849186
-1.16212980906169 0.0301136082285089 0.324390507053034 0.288580641450449 -0.108046171023565 -0.0550505599569275 -0.0457186358584798
-1.21119516576648 0.031426697236988 0.3435530402382 0.253308443043254 -0.0865988824590631 -0.036079796287532 -0.010687536550678
-1.18043751312138 -0.0402189059664905 0.424605984858094 0.250218323126398 -0.0319570011903626 -0.116907447349671 -0.0110301850078544
-1.19109883261358 -0.0340698082710486 0.336765219020665 0.329238776220424 -0.0767313910257977 -0.0243071163924742 -0.074046373327595
-1.06872292024319 0.0640034091631289 0.322490103841763 0.278525620272796 -0.13148646568005 -0.0248390428259005 -0.0231883219913429
-1.20104116411474 0.012132266007013 0.326854375720905 0.290956326266607 -0.0545688187543518 -0.0376754177338653 -0.0461449084499378
-1.13941252195591 0.0257630595472767 0.391476615080734 0.231002817857965 -0.110262611505001 -0.122969731253596 0.00820995732548307
-1.43750563707427 0.0438080805955606 0.354702972385121 0.164648957808043 -0.115807301101038 -0.0749832135433508 0.0715244847665871
-1.4954571804346 0.128701622174442 0.217278254203035 0.193866429142077 -0.138688791294079 0.0997391090650859 0.0439439543610337
-1.30970642949224 0.000693891281951676 0.399486781527524 0.192988158334892 -0.0464059507269795 -0.0817140478897895 0.0836159776689533
-1.16364588193481 0.0655523175299705 0.312201143852174 0.263729782002371 -0.138532350906615 -0.0342787132851007 -0.0436869637386162
-1.34816357878426 -0.00383571111260073 0.319439090465417 0.272141046144606 -0.0589767092900396 -0.036528077308149 -0.0698656118899437
-1.30560444345693 -0.0348787948760418 0.323357166611998 0.307000902470371 -0.0679042333256783 -0.00182050342166936 -0.0845765528826385
-1.19051010093473 0.0346208669191625 0.392321395258124 0.206476071031166 -0.119739268150599 -0.0974032366797073 0.0581669182687702
-1.06011845213248 0.0593352351487046 0.359846865794801 0.254138239471754 -0.145637884351186 -0.0932723424515959 0.0122629449075548
-1.33977891629665 0.0636039243759349 0.260009954057038 0.261488582864894 -0.111617002805257 0.0376803644823938 -0.0150118874517663
-1.29381212852691 0.0110289143727865 0.372285324179617 0.214770590103323 -0.0663438981832916 -0.0867003490239868 0.0218347548183666
-1.23706577957175 -0.0537000791508708 0.320979872719801 0.351032989353092 -0.0485638661233914 -0.00691197640990926 -0.0943307027657885
-1.15540493578999 0.0432561718968326 0.338650222638219 0.256708085673464 -0.0933667452276943 -0.0776618083648161 -0.00779239853861048
-1.18585408071387 0.0388904042741194 0.382729715967421 0.214972688353661 -0.115942411254382 -0.0902521222400904 -0.0023791856961727
-1.13685670896617 -0.0016461525884764 0.40460220583908 0.246349160872738 -0.0915681970105703 -0.0993179257944107 0.00539426102489354
-1.3360594579771 0.0547789016182687 0.255360029332218 0.276270191601627 -0.107901093478077 0.0281977623530365 -0.0160153358605758
-1.15671599621659 0.0194374918845019 0.403358873364734 0.222124571795199 -0.101567862234941 -0.10660288655792 0.0150581525094154
-1.34775734925446 0.0199733340933317 0.357350366948973 0.204106373917754 -0.0752079725266461 -0.0522557208830117 0.0216637969531935
-1.33427700595964 0.046619607157406 0.306233793547271 0.236823758439535 -0.0875266681775878 0.0153228663689178 0.0368205443890154
-1.5798486601817 0.0216182614311614 0.264059720384316 0.230276477390133 -0.0561446515995034 -0.00806739557699446 -0.00442495878749347
